Rank,Lemma,Count,RelativeFrequency
1,ὁ,159396,0.096147
2,,,109742,0.066196
3,καί,72098,0.043489
4,.,48588,0.029308
5,δέ,47450,0.028622
6,εἰμί,25574,0.015426
7,αὐτός,25486,0.015373
8,οὗτος,23399,0.014114
9,·,22322,0.013465
10,ἐγώ,18699,0.011279
11,μέν,17643,0.010642
12,οὐ,16028,0.009668
13,σύ,14696,0.008865
14,ἐν,14671,0.008850
15,ὅς,13639,0.008227
16,γάρ,12749,0.007690
17,τε,12099,0.007298
18,εἰς,11367,0.006857
19,τις,10378,0.006260
20,ὡς,10107,0.006097
21,ἄν,9595,0.005788
22,ἕ,9372,0.005653
23,ἐπί,8060,0.004862
24,ἐκ,7725,0.004660
25,μή,7697,0.004643
26,πᾶς,7527,0.004540
27,λέγω,7491,0.004519
28,ἔχω,7392,0.004459
29,ἤ,7100,0.004283
30,πρός,7096,0.004280
31,εἰ,7013,0.004230
32,ἄλλος,6804,0.004104
33,περί,6679,0.004029
34,ὅτι,6244,0.003766
35,;,6006,0.003623
36,πολύς,6001,0.003620
37,ἀνήρ,5534,0.003338
38,πόλις,5461,0.003294
39,γίγνομαι,5282,0.003186
40,ποιέω,5217,0.003147
41,ἀλλά,4979,0.003003
42,ἄλλο,4820,0.002907
43,οὐδείς,4375,0.002639
44,ἑαυτοῦ,4326,0.002609
45,ἐκεῖνος,4305,0.002597
46,δή,4262,0.002571
47,κατά,3890,0.002346
48,ὑπό,3867,0.002333
49,οὖν,3811,0.002299
50,νῦν,3627,0.002188
51,φημί,3553,0.002143
52,θεός,3402,0.002052
53,διά,3389,0.002044
54,μέγας,3181,0.001919
55,ὦ,3156,0.001904
56,λόγος,3133,0.001890
57,ἀπό,3084,0.001860
58,οὕτως,2921,0.001762
59,τοιοῦτος,2866,0.001729
60,ἐπεί,2845,0.001716
61,πάρειμι,2800,0.001689
62,τίς,2772,0.001672
63,νόμος,2747,0.001657
64,μετά,2710,0.001635
65,ναῦς,2646,0.001596
66,παρά,2641,0.001593
67,εἶπον,2582,0.001557
68,ἄνθρωπος,2533,0.001528
69,οὐδέ,2496,0.001506
70,γε,2477,0.001494
71,ἐάν,2382,0.001437
72,ἅπας,2372,0.001431
73,ἔρχομαι,2329,0.001405
74,οὔτε,2307,0.001392
75,σφεῖς,2200,0.001327
76,μηδείς,2199,0.001326
77,λαμβάνω,2167,0.001307
78,πρῶτος,2115,0.001276
79,οἶδα,2103,0.001269
80,ὅσος,2102,0.001268
81,πατήρ,2041,0.001231
82,οὐδʼ,2037,0.001229
83,ὑπέρ,2021,0.001219
84,δίδωμι,1989,0.001200
85,εἷς,1972,0.001190
86,δίκαιος,1955,0.001179
87,δοκέω,1953,0.001178
88,ἕκαστος,1902,0.001147
89,κακός,1879,0.001133
90,τιξ,1856,0.001120
91,Ἕλλην,1826,0.001101
92,ἔτι,1820,0.001098
93,μόνος,1815,0.001095
94,βούλομαι,1801,0.001086
95,καλός,1800,0.001086
96,ἄρα,1799,0.001085
97,ὅδε,1762,0.001063
98,Ἀθηναῖος,1756,0.001059
99,μᾶλλον,1743,0.001051
100,Ἀθήναιος,1711,0.001032
101,παῖς,1702,0.001027
102,ἵνα,1698,0.001024
103,τό,1680,0.001013
104,χρόνος,1675,0.001010
105,δεῖ,1675,0.001010
106,ὥστε,1665,0.001004
107,ἐγ,1660,0.001001
108,ἀκούω,1641,0.000990
109,ὁράω,1609,0.000971
110,τοίνυν,1588,0.000958
111,οὗς,1579,0.000952
112,πρότερος,1538,0.000928
113,πόλεμος,1534,0.000925
114,γυνή,1530,0.000923
115,βασιλεύς,1520,0.000917
116,ἤδη,1515,0.000914
117,φίλος,1482,0.000894
118,ἔργον,1475,0.000890
119,τότε,1451,0.000875
120,χρῆμα,1438,0.000867
121,ἡμέρα,1397,0.000843
122,πρᾶγμα,1364,0.000823
123,Λακεδαιμόνιος,1323,0.000798
124,οἷος,1313,0.000792
125,εἷ,1306,0.000788
126,ἀγαθός,1262,0.000761
127,υἱός,1258,0.000759
128,ἄρχω,1250,0.000754
129,ἕτερος,1245,0.000751
130,ὥσπερ,1243,0.000750
131,ἐμός,1242,0.000749
132,δίκη,1176,0.000709
133,μάλιστα,1171,0.000706
134,χείρ,1164,0.000702
135,ἅμα,1161,0.000700
136,δῆμος,1153,0.000695
137,ἀρχή,1148,0.000692
138,πλείων,1146,0.000691
139,γῆ,1138,0.000686
140,ὅπως,1125,0.000679
141,κύριος,1120,0.000676
142,μέλλω,1111,0.000670
143,Ζεύς,1101,0.000664
144,οὔτις,1099,0.000663
